"","CaseID","Country","StartYear","EndYear","Startmonth","Endmonth","Designation of the Event(s)","Public Health Activities","Children","Mothers_women","Others","Target Population(s)","Polio","Measles","Diphtheria","Pertussis","Tetanus","Cholera","Rubella","Other","Target Public Health Issue(s)","Parties Involved","UN_involved","UCDP_conflict","UCDP2","UCDP3","ISO3","cases","gwno","Startdate","Enddate"
"62","62","Sri Lanka","2002","2003","NA","NA","Days of Tranquillity/Corridor of Peace","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","Government of Sri Lanka, LTTE, UNICEF, Rotary International","1","352","NA","NA","LKA","1","780","NA","NA"
"63","63","Sudan","1989","1989","NA","NA","Corridors of tranquillity","Vaccination Campaign (1)","1","1","0","Children, women (1)","1","1","1","0","1","0","0","1","Measles, polio, diphtheria, tuberculosis (Children), tetanus (Women) (1)","UNICEF/Operation Lifeline Sudan","1","309","NA","NA","SDN","1","625","NA","NA"
"64","64","Sudan","1994","1994","4","6","Days of Tranquillity/Corridors","Vaccination Campaign, Polio Surveillance","1","0","0","Children","1","1","0","0","0","0","0","0","Polio, measles(?)","NA","0","309","NA","NA","SDN","1","625","1994-04-01","1994-06-28"
"65","65","Sudan","1995","1995","3","5","Ceasefire","Vaccination Campaign, Disease eradication","1","0","1","Children (and adults?)","1","0","0","0","0","0","0","1","Guinea worm, polio, river blindness","Carter Centre (President Carter), SPLM/A, and Government of Sudan","0","309","NA","NA","SDN","1","625","1995-03-01","1995-05-28"
"66","66","Sudan","1998","1998","7","7","Ceasefire","Vaccination Campaign","0","0","0","NA","0","0","0","0","0","0","0","0","NA","NA","0","309","NA","NA","SDN","1","625","1998-07-01","1998-07-28"
"67","67","Sudan","2000","2000","10","11","NA","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio (3)","UN, UNICEF, Khartoum authorities, ""Secessionist leaders"" (1)","1","309","NA","NA","SDN","1","625","2000-10-01","2000-11-28"
"68","68","Sudan","2005","2005","1","1","Days of Tranquillity/Vaccination Truce","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","UN, UNICEF, WHO, Sudanese warring parties, Sudanese health ministry","1","309","NA","NA","SDN","1","625","2005-01-01","2005-01-28"
"69","69","Syria","2013","2014","11","1","NA","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","A coalition of local NGOs and ""moderate rebels"" and the Turkish authorities, local rebel leaders (1), Assistance Coordination Unit (2)","0","299","NA","NA","SYR","1","652","2013-11-01","2014-01-28"
"70","70","Uganda","1985","1986","12","1","Corridor of Peace","Delivery of medical supplies and vaccines","0","0","0","NA","0","0","0","0","0","0","0","0","NA","UNICEF, NRA, Government of Uganda","1","314","NA","NA","UGA","1","500","1985-12-01","1986-01-28"
"71","71","Yemen","2015","2015","5","5","Humanitarian Pause/Ceasefire","Delivery of Vaccines and Health Care","0","0","0","NA","0","0","0","0","0","0","0","0","NA","WHO, UNICEF","1","230","NA","NA","YEM","1","678","2015-05-01","2015-05-28"
"72","72","Yemen","2015","2015","7","7","Humanitarian Pause","Vaccination Campaign, Polio Surveillance","1","0","0","Children","1","1","0","0","0","0","1","0","Polio, measles, rubella","WHO, UNICEF","1","230","NA","NA","YEM","1","678","2015-07-01","2015-07-28"
"73","73","Yemen","2016","2016","4","4","Cessation of Hostilities","Vaccination Campaign, Vitamin Provision, Other medical services","1","0","0","Children","1","0","0","0","0","0","0","1","Polio, vitamin A provision","UNICEF, WHO, World Bank, Ministry of Public Health and Population","1","230","NA","NA","YEM","1","678","2016-04-01","2016-04-28"
"74","74","Yemen","2018","2018","9","10","Days of Tranquillity","Vaccination Campaign","1","0","1","Children, Adults","0","0","0","0","0","1","0","0","Cholera","WHO, UNICEF, ""parties to the conflict"" (1)","1","230","NA","NA","YEM","1","678","2018-09-01","2018-10-28"
